Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P d,0-3 d,3-10 d,10-16 d,16-3P d,3P d,,2P p,0-3 p,3-10 p,10-16 p,16-3P p,3P p,,2P a,3P a,,%FGA du,#,,%3PA c,3P% c,,Att.,#
82,Jimmy Butler\butleji01,SF,30,MIA,58,1959,0.455,10,,0.843,0.34,0.257,0.15,0.095,0.157,,0.495,0.655,0.426,0.386,0.278,0.244,,0.402,0.552,,0.074,55,,0.193,0.217,,4,0
83,Bruno Caboclo\cabocbr01,C,24,TOT,30,244,0.427,11.8,,0.629,0.427,0.146,0,0.056,0.371,,0.571,0.658,0.385,,0.4,0.182,,0.656,0.833,,0.135,10,,0.424,0.286,,0,0
84,Devontae Cacok\cacokde01,C,23,LAL,1,9,0.5,3.9,,1,0.333,0.667,0,0,0,,0.5,0,0.75,,,,,1,,,0,0,,,,,0,0
85,Kentavious Caldwell-Pope\caldwke01,SG,26,LAL,69,1762,0.467,15.9,,0.529,0.254,0.071,0.091,0.112,0.471,,0.541,0.651,0.528,0.391,0.421,0.385,,0.766,0.924,,0.032,14,,0.397,0.389,,1,0
86,Vlatko Čančar\cancavl01,PF,22,DEN,14,45,0.4,12.9,,0.6,0.4,0.133,0,0.067,0.4,,0.556,0.667,0.5,,0,0.167,,0.6,1,,0.133,2,,0.167,0,,0,0
87,Clint Capela\capelca01,C,25,HOU,39,1279,0.629,2.3,,1,0.76,0.232,0.008,0,0,,0.629,0.722,0.333,0.333,,,,0.803,,,0.327,123,,,,,0,0
88,DeMarre Carroll\carrode01,SF-C,33,TOT,24,290,0.379,15.2,,0.5,0.242,0.167,0.091,0,0.5,,0.515,0.563,0.364,0.667,,0.242,,0.647,0.875,,0,0,,0.364,0.5,,0,0
89,Jevon Carter\carteje01,PG,24,PHO,58,945,0.416,18.6,,0.399,0.152,0.082,0.062,0.103,0.601,,0.402,0.486,0.2,0.4,0.44,0.425,,0.436,0.903,,0.004,1,,0.342,0.46,,2,0
90,Vince Carter\cartevi01,PF,43,ATL,60,876,0.352,20.4,,0.336,0.079,0.082,0.102,0.072,0.664,,0.451,0.417,0.56,0.419,0.409,0.302,,0.457,0.869,,0.007,2,,0.188,0.342,,0,0
91,Wendell Carter Jr.\cartewe01,C,20,CHI,43,1256,0.534,6,,0.915,0.571,0.204,0.096,0.044,0.085,,0.564,0.694,0.286,0.515,0.267,0.207,,0.695,1,,0.236,73,,0.414,0.167,,0,0
92,Michael Carter-Williams\cartemi01,SG,28,ORL,45,833,0.427,10.7,,0.712,0.335,0.277,0.077,0.023,0.288,,0.481,0.586,0.431,0.35,0,0.293,,0.483,0.955,,0.05,11,,0.307,0.261,,0,0
93,Alex Caruso\carusal01,PG,25,LAL,64,1175,0.412,13.7,,0.588,0.326,0.134,0.082,0.045,0.412,,0.468,0.684,0.205,0.167,0.231,0.333,,0.575,0.875,,0.052,12,,0.325,0.308,,0,0
94,Willie Cauley-Stein\caulewi01,C,26,TOT,54,1097,0.579,5.4,,0.997,0.56,0.238,0.093,0.106,0.003,,0.581,0.787,0.389,0.286,0.188,0,,0.789,,,0.295,84,,0,,,0,0
95,Tyson Chandler\chandty01,C,37,HOU,26,219,0.778,1.4,,1,1,0,0,0,0,,0.778,0.778,,,,,,0.857,,,0.611,11,,,,,0,0
96,Wilson Chandler\chandwi01,PF,32,BRK,35,734,0.404,18.8,,0.339,0.098,0.164,0.038,0.038,0.661,,0.597,0.722,0.533,0.286,0.857,0.306,,0.514,1,,0.005,1,,0.256,0.387,,0,0
97,Joe Chealey\chealjo01,PG,24,CHO,4,33,0,16.7,,0.429,0,0.429,0,0,0.571,,0,,0,,,0,,,,,0,0,,0.75,0,,0,0
98,Zylan Cheatham\cheatzy01,PF,24,NOP,4,51,0.667,5.7,,0.889,0.667,0.111,0.111,0,0.111,,0.75,1,0,0,,0,,0.5,,,0.222,2,,0,,,0,0
99,Chris Chiozza\chiozch01,PG,24,TOT,28,401,0.393,16.1,,0.486,0.236,0.136,0.071,0.043,0.514,,0.412,0.485,0.368,0.4,0.167,0.375,,0.214,0.852,,0,0,,0.111,0.625,,0,0
100,Marquese Chriss\chrisma01,PF,22,GSW,59,1196,0.545,5.8,,0.899,0.613,0.223,0.029,0.034,0.101,,0.584,0.674,0.395,0.364,0.385,0.205,,0.743,1,,0.304,99,,0.077,0.667,,1,0
101,Gary Clark\clarkga01,SF-PF,25,TOT,42,567,0.406,21.7,,0.165,0.105,0.038,0.015,0.008,0.835,,0.682,0.786,0.4,0.5,1,0.351,,0.667,1,,0.023,3,,0.288,0.406,,0,0
102,Brandon Clarke\clarkbr01,PF,23,MEM,58,1300,0.618,7.6,,0.866,0.47,0.215,0.148,0.033,0.134,,0.658,0.773,0.524,0.549,0.375,0.359,,0.813,1,,0.167,77,,0.422,0.296,,0,0
103,Jordan Clarkson\clarkjo01,SG,27,TOT,71,1705,0.454,15.3,,0.524,0.194,0.22,0.083,0.027,0.476,,0.533,0.702,0.482,0.333,0.348,0.368,,0.256,0.77,,0.013,10,,0.232,0.396,,1,0
104,Nicolas Claxton\claxtni01,C,20,BRK,15,187,0.563,6.3,,0.854,0.521,0.292,0.021,0.021,0.146,,0.634,0.8,0.357,1,0,0.143,,0.692,1,,0.313,14,,0.571,0,,0,0
105,Chris Clemons\clemoch01,SG,22,HOU,33,291,0.401,21.5,,0.246,0.176,0.021,0.028,0.021,0.754,,0.571,0.6,0.667,0.5,0.333,0.346,,0.3,0.568,,0.028,4,,0.019,0.5,,0,0
106,Antonius Cleveland\clevean01,SG,25,DAL,11,46,0.286,9.6,,0.786,0.429,0.214,0.071,0.071,0.214,,0.364,0.333,0.667,0,0,0,,0.25,,,0,0,,0.333,0,,0,0
107,Amir Coffey\coffeam01,SG,22,LAC,18,159,0.426,12.7,,0.648,0.315,0.148,0.13,0.056,0.352,,0.486,0.588,0.25,0.571,0.333,0.316,,0.471,1,,0.056,3,,0.368,0.571,,0,0
108,John Collins\collijo01,PF,22,ATL,41,1363,0.583,9.4,,0.757,0.469,0.185,0.068,0.035,0.243,,0.642,0.768,0.473,0.293,0.524,0.401,,0.748,0.966,,0.221,117,,0.129,0.368,,1,0
109,Zach Collins\colliza01,PF,22,POR,11,290,0.471,9.8,,0.721,0.441,0.206,0.044,0.029,0.279,,0.51,0.633,0.286,0.333,0.5,0.368,,0.68,1,,0.074,5,,0.316,0.167,,0,0
110,Mike Conley\conlemi01,PG,32,UTA,47,1363,0.409,16.3,,0.549,0.134,0.203,0.138,0.074,0.451,,0.437,0.566,0.391,0.359,0.476,0.375,,0.257,0.625,,0,0,,0.199,0.451,,4,1
111,Pat Connaughton\connapa01,SG,27,MIL,67,1243,0.455,15.9,,0.449,0.349,0.063,0.013,0.023,0.551,,0.607,0.705,0.368,0.25,0,0.331,,0.732,0.945,,0.1,29,,0.114,0.316,,0,0
112,Quinn Cook\cookqu01,PG,26,LAL,44,508,0.425,15.7,,0.603,0.192,0.145,0.089,0.178,0.397,,0.465,0.61,0.29,0.632,0.368,0.365,,0.333,0.774,,0,0,,0.247,0.476,,0,0
113,Tyler Cook\cookty01,PF-SF,22,TOT,13,54,0.667,2.7,,1,0.833,0.083,0.083,0,0,,0.667,0.6,1,1,,,,0.5,,,0.417,2,,,,,0,0
114,Robert Covington\covinro01,PF-C,29,TOT,70,2137,0.422,18.7,,0.336,0.217,0.087,0.012,0.019,0.664,,0.593,0.675,0.429,0.444,0.5,0.335,,0.771,0.925,,0.017,11,,0.131,0.365,,4,0
115,Allen Crabbe\crabbal01,SG-SF,27,TOT,37,653,0.356,20.7,,0.328,0.068,0.085,0.096,0.079,0.672,,0.466,0.75,0.333,0.412,0.429,0.303,,0.667,1,,0.006,1,,0.244,0.414,,2,0
116,Torrey Craig\craigto01,SF,29,DEN,58,1072,0.461,15,,0.487,0.342,0.074,0.041,0.03,0.513,,0.603,0.739,0.3,0.182,0.375,0.326,,0.633,0.956,,0.052,10,,0.341,0.298,,2,0
117,Jamal Crawford\crawfja01,SG,39,BRK,1,6,0.5,24,,0.5,0,0,0,0.5,0.5,,0.5,,,,0.5,0.5,,0,1,,0,0,,0,,,0,0
118,Jae Crowder\crowdja01,SF-PF,29,TOT,65,1875,0.401,19.5,,0.3,0.187,0.044,0.02,0.05,0.7,,0.538,0.648,0.36,0.273,0.393,0.343,,0.648,0.852,,0.007,4,,0.226,0.382,,1,0
